,name,full_name,birth_date,age,height_cm,weight_kgs,body_mass_index,positions,primary_position,nationality,overall_rating,potential,value_euro,wage_euro,preferred_foot,international_reputation(1-5),weak_foot(1-5),skill_moves(1-5),body_type,release_clause_euro,setpiece_stats,attacking_stats,skill_stats,movement_stats,power_stats,mentality_stats,defending_stats
11,T. Courtois,Thibaut Courtois,05/11/92,26,198.12,96.2,24.51,GK,GK,Belgium,89,90,53500000.0,240000.0,Left,4,2,1,Normal,113700000.0,23.75,17.2,22.0,57.6,45.8,31.33,18.0
12,M. ter Stegen,Marc-André ter Stegen,04/30/92,26,187.96,84.8,24.0,GK,GK,Germany,89,92,58000000.0,240000.0,Right,3,4,1,Normal,123300000.0,27.0,19.8,22.4,50.8,44.8,40.17,16.0
13,A. Griezmann,Antoine Griezmann,03/21/91,27,175.26,73.0,23.77,"CF,ST",CF,France,89,90,78000000.0,145000.0,Left,4,3,4,Lean,165800000.0,82.25,85.2,85.0,87.0,80.4,78.33,53.67
14,M. Salah,Mohamed  Salah Ghaly,06/15/92,26,175.26,71.2,23.18,"RW,ST",RW,Egypt,89,90,78500000.0,265000.0,Left,3,3,4,Normal,151100000.0,77.5,77.2,78.8,91.2,77.0,76.67,40.67
15,P. Dybala,Paulo Bruno Exequiel Dybala,11/15/93,25,152.4,74.8,32.21,"CAM,RW",CAM,Argentina,89,94,89000000.0,205000.0,Left,3,3,4,Normal,153500000.0,82.75,81.8,87.0,86.4,78.0,70.17,21.0
16,M. Škriniar,Milan Škriniar,02/11/95,24,187.96,79.8,22.59,CB,CB,Slovakia,86,93,53500000.0,89000.0,Right,1,4,2,Normal,101700000.0,49.75,55.4,51.8,65.0,64.0,66.0,88.33
17,Fernandinho,Fernando Luiz Rosa,05/04/85,33,152.4,67.1,28.89,CDM,CDM,Brazil,87,87,20500000.0,200000.0,Right,3,4,3,Lean,37900000.0,70.5,72.4,76.8,74.8,79.8,76.83,84.33
18,G. Higuaín,Gonzalo Gerardo Higuaín,12/10/87,31,185.42,88.9,25.86,ST,ST,Argentina,87,87,48500000.0,205000.0,Right,4,4,3,Normal,0.0,67.75,80.0,72.4,74.4,80.0,65.33,25.0
19,I. Rakitić,Ivan Rakitić,03/10/88,30,182.88,78.0,23.32,"CM,CDM",CM,Croatia,87,87,46500000.0,260000.0,Right,4,4,3,Lean,95300000.0,86.0,78.6,85.4,69.4,72.8,80.33,74.67
20,J. Vertonghen,Jan Vertonghen,04/24/87,31,187.96,86.2,24.4,CB,CB,Belgium,87,87,34000000.0,155000.0,Left,3,3,3,Normal,62900000.0,68.75,67.8,71.6,66.4,77.0,75.0,88.0
21,D. Mertens,Dries Mertens,05/06/87,31,170.18,60.8,20.99,"CF,ST",CF,Belgium,87,87,45000000.0,135000.0,Right,3,4,4,Normal,76500000.0,78.0,70.0,83.0,90.4,67.6,70.83,35.0
22,Marcelo,Marcelo Vieira da Silva Júnior,05/12/88,30,175.26,79.8,25.98,LB,LB,Brazil,87,87,36500000.0,240000.0,Left,4,4,5,Normal,74800000.0,78.0,76.6,82.4,84.8,79.2,79.83,78.67
23,T. Alderweireld,Toby Alderweireld,03/02/89,30,185.42,81.2,23.62,CB,CB,Belgium,87,88,44000000.0,165000.0,Right,3,3,2,Normal,84700000.0,67.5,61.6,70.8,65.2,76.4,72.5,89.0
24,Jordi Alba,Jordi Alba Ramos,03/21/89,29,170.18,68.0,23.48,LB,LB,Spain,87,87,38000000.0,250000.0,Left,3,3,3,Normal,77900000.0,75.0,74.8,76.2,88.8,72.6,76.33,80.67
25,Thiago,Thiago Alcântara do Nascimento,04/11/91,27,175.26,69.9,22.76,"CM,CAM,CDM",CM,Spain,87,87,51500000.0,140000.0,Right,3,3,5,Normal,85000000.0,79.75,75.0,85.8,81.8,72.8,76.5,68.33
26,C. Immobile,Ciro Immobile,02/20/90,29,185.42,84.8,24.67,ST,ST,Italy,87,87,52000000.0,115000.0,Right,3,4,3,Normal,88400000.0,63.0,77.4,67.2,78.0,79.8,72.0,33.0
27,K. Navas,Keylor Navas,12/15/86,32,185.42,79.8,23.21,GK,GK,Costa Rica,87,87,30500000.0,195000.0,Right,3,3,1,Normal,62500000.0,21.0,15.6,19.6,62.4,44.4,38.0,18.67
28,Isco,Francisco Román Alarcón Suárez,04/21/92,26,175.26,78.9,25.69,"CAM,CM,LW",CAM,Spain,87,90,62500000.0,260000.0,Right,3,3,4,Normal,132800000.0,80.0,72.0,86.8,79.6,69.4,74.67,58.33
29,J. Rodríguez,James David Rodríguez Rubio,07/12/91,27,154.94,74.8,31.16,"CAM,CM,RM",CAM,Colombia,87,88,59000000.0,260000.0,Left,4,3,4,Normal,0.0,85.75,82.8,86.6,76.8,74.0,75.83,45.67
30,Casemiro,Carlos Henrique Venancio Casimiro,02/23/92,27,185.42,83.9,24.4,CDM,CDM,Brazil,87,89,50500000.0,240000.0,Right,3,3,2,Normal,107300000.0,67.25,68.4,73.2,68.2,86.2,78.5,85.67
31,M. Icardi,Mauro Emanuel Icardi Rivero,02/19/93,26,154.94,74.8,31.16,ST,ST,Argentina,87,90,64500000.0,130000.0,Right,3,4,3,Normal,114500000.0,60.0,77.2,63.0,79.0,78.6,66.83,29.67
32,Kepa,Kepa Arrizabalaga,10/03/94,24,185.42,84.8,24.67,GK,GK,Spain,84,90,31000000.0,92000.0,Right,1,4,1,Lean,63600000.0,27.5,20.6,21.2,45.2,39.6,32.67,17.67
33,H. Ziyech,Hakim Ziyech,03/19/93,25,154.94,64.9,27.03,"CAM,RW",CAM,Morocco,84,86,38000000.0,31000.0,Left,3,2,4,Lean,56100000.0,83.75,73.6,84.8,79.4,67.8,75.5,51.33
34,Fabinho,Fábio Henrique Tavares,10/23/93,25,187.96,78.0,22.08,CDM,CDM,Brazil,84,88,34000000.0,120000.0,Right,3,2,3,Lean,65500000.0,80.25,70.0,72.4,72.0,77.8,81.83,84.67
35,A. Martial,Anthony Martial,12/05/95,23,182.88,76.2,22.78,"LW,ST,LM",LW,France,84,90,42500000.0,165000.0,Right,3,3,4,Normal,89300000.0,75.25,76.2,74.6,85.0,77.8,70.0,36.33
36,T. Werner,Timo Werner,03/06/96,23,154.94,74.8,31.16,ST,ST,Germany,84,87,40000000.0,77000.0,Right,3,4,3,Normal,71000000.0,64.75,79.0,68.2,85.8,74.6,65.33,26.0
37,N. Süle,Niklas Süle,09/03/95,23,195.58,97.1,25.38,CB,CB,Germany,84,90,36500000.0,84000.0,Right,2,3,2,Stocky,67500000.0,38.25,49.0,45.2,56.2,67.2,54.0,83.67
38,Bruno Fernandes,Bruno Miguel Borges Fernandes,09/08/94,24,152.4,68.9,29.67,"CAM,CM",CAM,Portugal,84,88,40500000.0,22000.0,Right,2,3,4,Lean,84000000.0,84.0,77.0,84.8,78.8,81.0,78.33,63.0
39,Alex Telles,Alex Nicolao Telles,12/15/92,26,154.94,71.2,29.66,LB,LB,Brazil,84,86,31000000.0,22000.0,Left,3,2,3,Lean,64300000.0,83.75,75.6,83.2,79.0,79.2,76.83,80.0
40,J. Giménez,José María Giménez de Vargas,01/20/95,24,185.42,79.8,23.21,CB,CB,Uruguay,84,88,34000000.0,63000.0,Right,2,3,2,Normal,72300000.0,44.75,52.6,48.2,62.8,72.4,56.0,87.0
41,N. Fekir,Nabil Fekir,07/18/93,25,172.72,74.8,25.07,CAM,CAM,France,84,88,40500000.0,84000.0,Left,3,3,4,Stocky,80000000.0,78.75,74.8,82.8,82.6,78.8,71.33,31.0
42,D. Sánchez,Davinson Sánchez,06/12/96,22,187.96,78.9,22.33,CB,CB,Colombia,84,88,34000000.0,105000.0,Right,2,3,2,Lean,65500000.0,44.25,52.2,52.0,69.2,68.4,61.83,85.67
43,Marco Asensio,Marco Asensio Willemsen,01/21/96,23,182.88,76.2,22.78,"LW,RW",LW,Spain,84,89,41500000.0,195000.0,Left,3,3,4,Normal,88200000.0,77.0,76.2,82.0,80.8,73.8,66.5,40.33
44,O. Dembélé,Ousmane Dembélé,05/15/97,21,152.4,67.1,28.89,"RW,LW",RW,France,84,92,46000000.0,170000.0,Left,3,5,4,Lean,103500000.0,77.0,71.4,78.0,88.8,69.2,68.33,35.0
45,Iniesta,Andrés Iniesta Luján,05/11/84,34,170.18,68.0,23.48,"CM,LM",CM,Spain,85,85,18500000.0,19000.0,Right,4,4,4,Normal,24100000.0,78.0,73.0,82.6,76.6,60.0,75.67,60.33
46,Z. Ibrahimović,Zlatan Ibrahimović,10/03/81,37,195.58,94.8,24.78,ST,ST,Sweden,85,85,14000000.0,15000.0,Right,5,4,5,Normal,21000000.0,79.25,81.4,80.0,62.6,77.4,74.5,29.67
47,Jorginho,Luiz Frello Filho Jorge,12/20/91,27,154.94,67.1,27.95,CM,CM,Italy,83,84,30000000.0,140000.0,Right,2,3,3,Lean,57800000.0,80.25,69.6,81.0,72.6,67.2,78.83,69.67
48,E. Višća,Edin Višća,02/17/90,29,172.72,63.0,21.12,"RM,RW",RM,Bosnia Herzegovina,83,83,26000000.0,44000.0,Right,2,4,4,Lean,49400000.0,75.0,72.2,73.8,88.0,73.4,69.33,45.0
49,S. Gnabry,Serge Gnabry,07/14/95,23,175.26,74.8,24.35,"LM,RM,CAM,LW",LM,Germany,83,87,34000000.0,85000.0,Right,2,4,4,Normal,58700000.0,68.5,72.6,72.8,87.4,73.2,66.17,46.0
50,M. Kovačić,Mateo Kovačić,05/06/94,24,175.26,78.0,25.39,CM,CM,Croatia,83,89,35000000.0,165000.0,Right,3,4,4,Normal,0.0,73.0,68.0,81.0,80.4,72.8,75.33,68.67
51,William Carvalho,William Silva de Carvalho,04/07/92,26,187.96,83.0,23.49,"CDM,CM",CDM,Portugal,83,86,27000000.0,35000.0,Right,3,4,3,Normal,58700000.0,72.75,64.8,74.2,61.2,75.0,75.5,77.33
52,Felipe,Felipe Augusto de Almeida Monteiro,05/16/89,29,190.5,86.2,23.75,CB,CB,Brazil,83,84,22500000.0,22000.0,Right,3,3,2,Normal,46700000.0,47.75,56.6,49.6,62.6,68.2,63.17,83.0
53,Y. Carrasco,Yannick Ferreira Carrasco,09/04/93,25,154.94,73.0,30.41,LM,LM,Belgium,83,86,33000000.0,20000.0,Right,3,4,4,Lean,73400000.0,76.0,71.0,81.0,83.6,72.0,63.33,41.0
54,Lucas Vázquez,Lucas Vázquez Iglesias,07/01/91,27,172.72,69.9,23.43,"RW,RM",RW,Spain,83,83,27000000.0,205000.0,Right,2,4,4,Normal,55400000.0,74.0,70.4,78.4,84.6,74.2,71.67,61.67
55,Q. Promes,Quincy Anton Promes,01/04/92,27,175.26,72.1,23.47,"LM,ST,RM",LM,Netherlands,83,83,28000000.0,28000.0,Right,2,4,5,Lean,58800000.0,75.25,74.4,78.0,85.8,78.2,67.5,32.67
56,L. Goretzka,Leon Goretzka,02/06/95,24,187.96,78.9,22.33,"CM,CAM,CDM",CM,Germany,83,88,34000000.0,85000.0,Right,3,4,3,Lean,58700000.0,72.5,76.0,78.8,78.6,78.0,77.17,74.0
57,A. Rabiot,Adrien Rabiot,04/03/95,23,193.04,79.8,21.41,"CM,CDM",CM,France,83,87,33000000.0,91000.0,Left,2,3,3,Lean,63500000.0,73.25,74.6,75.4,76.2,78.8,77.17,75.33
58,A. Romagnoli,Alessio Romagnoli,01/12/95,24,187.96,78.0,22.08,CB,CB,Italy,83,90,31000000.0,92000.0,Left,2,3,2,Normal,58900000.0,44.25,48.6,53.2,64.6,68.8,59.5,85.33
59,João Cancelo,João Pedro Cavaco Cancelo,05/27/94,24,182.88,73.9,22.1,RB,RB,Portugal,83,89,29500000.0,105000.0,Right,2,3,4,Lean,54600000.0,72.5,69.8,79.2,83.4,75.0,70.83,79.0
60,Anderson Talisca,Anderson Souza Conceição,02/01/94,25,190.5,79.8,21.99,CAM,CAM,Brazil,83,87,34000000.0,27000.0,Left,2,4,4,Normal,77400000.0,78.5,78.4,83.6,74.6,75.6,72.83,53.0
61,K. Coman,Kingsley Coman,06/13/96,22,152.4,71.2,30.66,"LM,RM,LW,RW",LM,France,83,88,34500000.0,85000.0,Right,2,3,5,Lean,59500000.0,74.5,72.8,77.6,88.4,73.0,59.67,20.33
62,T. Lemar,Thomas Lemar,11/12/95,23,170.18,62.1,21.44,"LM,CAM,RM",LM,France,83,89,35500000.0,64000.0,Left,3,2,4,Lean,79900000.0,77.75,74.4,82.4,84.4,74.0,73.17,59.0
63,J. Tah,Jonathan Tah,02/11/96,23,195.58,97.1,25.38,CB,CB,Germany,82,87,25000000.0,61000.0,Right,2,4,2,Stocky,44400000.0,43.0,46.6,49.0,62.8,59.4,59.5,83.67
64,M. Politano,Matteo Politano,08/03/93,25,170.18,67.1,23.17,"RM,LM,ST",RM,Italy,82,85,28000000.0,61000.0,Left,2,4,4,Normal,0.0,76.25,69.8,80.0,84.4,66.8,67.0,40.33
65,C. Lenglet,Clément Lenglet,06/17/95,23,185.42,81.2,23.62,CB,CB,France,82,88,26000000.0,135000.0,Left,1,4,2,Lean,58500000.0,43.25,48.2,51.4,69.6,66.2,65.5,83.0
66,Pau López,Pau López Sabata,12/13/94,24,187.96,77.1,21.82,GK,GK,Spain,82,87,21500000.0,21000.0,Left,1,3,1,Lean,46800000.0,28.25,22.6,23.8,53.6,40.8,37.33,16.67
67,H. Lozano,Hirving Rodrigo Lozano Bahena,07/30/95,23,175.26,69.9,22.76,"RW,LW",RW,Mexico,82,87,29500000.0,24000.0,Right,3,4,4,Lean,43500000.0,69.5,71.8,73.8,87.2,71.6,67.17,35.33
68,Malcom,Malcom Filipe Silva de Oliveira,02/26/97,22,172.72,73.9,24.77,RW,RW,Brazil,82,89,31500000.0,140000.0,Left,2,4,4,Normal,70900000.0,74.25,72.4,80.2,84.8,73.2,64.0,22.0
69,L. Torreira,Lucas Torreira Di Pascua,02/11/96,23,167.64,64.0,22.77,"CDM,CM",CDM,Uruguay,82,87,25000000.0,98000.0,Right,2,3,3,Normal,49400000.0,67.25,66.2,76.8,82.4,71.0,72.83,81.67
70,Gonçalo Guedes,Gonçalo Manuel Ganchinho Guedes,11/29/96,22,152.4,68.0,29.28,"LM,ST,RM,LW",LM,Portugal,82,86,29000000.0,36000.0,Right,1,4,4,Normal,63100000.0,73.0,72.2,76.4,84.4,72.0,70.0,29.33
71,G. Lo Celso,Giovani Lo Celso,04/09/96,22,175.26,69.9,22.76,"CM,CAM,CDM",CM,Argentina,82,88,30000000.0,83000.0,Left,1,3,4,Lean,0.0,75.25,72.4,81.2,79.8,73.8,72.0,65.0
72,Fabián,Fabián Ruiz Peña,04/03/96,22,187.96,69.9,19.79,"CM,CDM,CAM",CM,Spain,82,90,32000000.0,70000.0,Left,1,4,4,Lean,60800000.0,73.5,73.0,76.0,70.8,69.8,75.5,74.33
73,F. de Jong,Frenkie de Jong,05/12/97,21,154.94,69.9,29.12,"CM,CDM,CB",CM,Netherlands,82,89,31000000.0,20000.0,Right,1,3,4,Lean,49600000.0,71.0,68.4,80.4,80.6,68.8,70.67,70.67
74,Raphaelito Anjos,Raphael William Anjos Rochedo,02/29/88,31,190.5,84.8,23.37,GK,GK,Brazil,82,82,14000000.0,32000.0,Right,1,2,1,Normal,25200000.0,12.25,11.0,14.6,48.0,40.6,39.33,16.67
75,Juiano Mestres,Juan Everton Mestres de Mesquita,02/29/84,35,154.94,82.1,34.2,"CB,CDM",CB,Brazil,82,82,6500000.0,39000.0,Right,1,3,2,Normal,12400000.0,58.0,61.8,62.4,68.8,76.2,68.0,82.0
76,Rosberto Dourado,Rosberto J. Dourado Santos,02/29/88,31,175.26,69.9,22.76,"CDM,CM",CDM,Brazil,82,82,16500000.0,46000.0,Right,1,4,2,Lean,31400000.0,67.5,64.6,68.4,78.6,64.6,75.0,83.0
77,Arthur,Arthur Henrique Ramos Oliveira Melo,08/12/96,22,170.18,73.0,25.21,CM,CM,Brazil,82,90,32500000.0,125000.0,Right,1,3,4,Normal,73100000.0,71.75,69.8,75.0,77.6,73.6,77.33,70.33
78,Rodri,Rodrigo Hernández Cascante,06/22/96,22,190.5,82.1,22.62,"CM,CDM",CM,Spain,82,87,29000000.0,59000.0,Right,1,3,4,Lean,61600000.0,63.5,69.0,71.6,71.4,74.4,71.83,74.67
79,M. Parolo,Marco Parolo,01/25/85,34,182.88,74.8,22.37,"CDM,CM",CDM,Italy,82,82,9000000.0,59000.0,Right,2,4,3,Lean,15300000.0,66.25,74.2,71.8,71.4,83.0,73.83,80.0
80,M. Kruse,Max Kruse,03/19/88,30,154.94,76.2,31.74,"CF,ST,CAM",CF,Germany,82,82,21500000.0,45000.0,Left,2,4,4,Normal,36600000.0,83.0,78.2,79.2,74.2,73.6,75.0,43.0
81,J. Henderson,Jordan Brian Henderson,06/17/90,28,182.88,79.8,23.86,"CDM,CM",CDM,England,82,82,18000000.0,125000.0,Right,2,3,3,Normal,33300000.0,77.25,73.8,78.2,70.2,78.0,76.17,77.33
82,N. Gaitán,Osvaldo Nicolás Fabián Gaitán,02/23/88,31,172.72,66.2,22.19,CAM,CAM,Argentina,82,82,21000000.0,22000.0,Left,3,2,4,Lean,45200000.0,78.5,73.4,80.4,82.6,68.2,69.83,40.0
83,M. Arnautović,Marko Arnautović,04/19/89,29,193.04,83.0,22.27,ST,ST,Austria,82,82,22000000.0,120000.0,Right,3,4,4,Normal,41800000.0,77.0,77.4,78.8,75.0,77.6,74.33,43.33
84,S. Giovinco,Sebastian Giovinco,01/26/87,32,162.56,60.8,23.01,"CF,ST",CF,Italy,82,82,20000000.0,61000.0,Right,2,4,4,Normal,34000000.0,77.75,67.8,86.2,87.2,62.8,69.5,26.67
85,G. Sigurðsson,Gylfi Þór Sigurðsson,09/08/89,29,185.42,77.1,22.43,CAM,CAM,Iceland,82,82,22500000.0,125000.0,Right,3,4,3,Normal,42800000.0,83.0,76.6,83.6,64.4,78.2,73.5,56.33
86,Giuliano,Giuliano Victor de Paula,05/31/90,28,172.72,68.0,22.79,"CAM,RW",CAM,Brazil,82,82,22500000.0,59000.0,Right,2,3,4,Stocky,38300000.0,75.75,72.0,76.8,82.6,74.2,72.67,43.33
87,P. Gulácsi,Péter Gulácsi,05/06/90,28,193.04,86.2,23.13,GK,GK,Hungary,82,83,18000000.0,53000.0,Right,2,2,1,Normal,32000000.0,20.75,17.6,19.6,50.4,41.0,28.83,20.33
88,Luiz Gustavo,Luiz Gustavo Dias,07/23/87,31,187.96,78.0,22.08,"CDM,CB",CDM,Brazil,82,82,16500000.0,57000.0,Left,3,3,3,Lean,31400000.0,59.75,63.2,63.8,67.0,78.6,72.5,82.33
89,K. Trippier,Kieran Trippier,09/19/90,28,152.4,72.1,31.04,"RB,RWB",RB,England,82,82,18500000.0,99000.0,Right,2,4,3,Normal,34200000.0,80.5,69.0,80.8,75.8,74.2,73.83,79.33
90,A. Ramsey,Aaron Ramsey,12/26/90,28,182.88,76.2,22.78,"CM,CDM,CAM",CM,Wales,82,82,23000000.0,130000.0,Right,3,3,3,Lean,43700000.0,75.0,74.0,75.8,72.4,75.4,76.83,67.67
91,M. Balotelli,Mario  Barwuah Balotelli,08/12/90,28,187.96,88.0,24.91,ST,ST,Italy,82,82,23500000.0,68000.0,Right,4,4,4,Normal,44700000.0,76.0,74.8,77.6,68.8,78.8,70.83,17.33
92,Marlos,Marlos Romero Bonfim,06/07/88,30,175.26,68.9,22.43,RM,RM,Ukraine,82,82,21000000.0,1000.0,Left,2,4,5,Normal,44100000.0,77.75,71.4,80.4,84.0,72.6,72.0,45.33
93,Taison,Taison Barcellos Freda,01/13/88,31,172.72,64.0,21.45,"LM,CAM",LM,Brazil,82,82,21000000.0,1000.0,Right,2,3,4,Lean,44100000.0,68.0,72.8,74.4,87.2,73.8,68.67,43.67
94,G. Bonaventura,Giacomo Bonaventura,08/22/89,29,154.94,74.8,31.16,"CM,LW",CM,Italy,82,82,22000000.0,115000.0,Right,3,3,4,Lean,37400000.0,77.0,76.8,80.8,77.6,77.8,75.0,71.33
95,G. Kondogbia,Geoffrey Kondogbia,02/15/93,26,187.96,79.8,22.59,"CM,CDM",CM,Central African Rep.,81,84,22000000.0,43000.0,Left,2,2,4,Lean,47900000.0,62.75,70.4,71.6,74.2,83.2,74.0,80.67
96,J. Roussillon,Jérôme Roussillon,01/06/93,26,175.26,79.8,25.98,"LB,LWB,LM",LB,France,81,83,18000000.0,50000.0,Left,2,3,3,Stocky,32000000.0,69.25,70.0,71.8,80.6,74.8,70.0,79.33
97,S. Zaza,Simone Zaza,06/25/91,27,185.42,83.9,24.4,ST,ST,Italy,81,82,21000000.0,48000.0,Left,2,3,4,Normal,0.0,61.75,72.6,65.6,75.8,82.0,71.17,48.67
98,S. Vrsaljko,Šime Vrsaljko,01/10/92,27,154.94,76.2,31.74,RB,RB,Croatia,81,81,15000000.0,57000.0,Right,2,3,3,Lean,0.0,68.5,65.8,70.0,75.0,75.6,67.83,79.0
99,C. Kramer,Christoph Kramer,02/19/91,28,190.5,76.2,21.0,"CDM,CM",CDM,Germany,81,82,17000000.0,35000.0,Right,2,3,3,Lean,30200000.0,58.5,60.6,65.8,61.8,61.8,71.17,78.67
100,B. Mendy,Benjamin Mendy,07/17/94,24,185.42,84.8,24.67,LB,LB,France,81,86,20000000.0,105000.0,Left,2,3,3,Normal,38500000.0,71.5,59.2,68.4,76.2,75.4,72.67,79.33
101,M. Sabitzer,Marcel Sabitzer,03/17/94,24,152.4,77.1,33.2,"CAM,CM",CAM,Austria,81,84,22500000.0,54000.0,Right,2,4,3,Normal,39900000.0,69.0,72.4,72.8,79.8,80.4,70.83,54.67
102,M. Nastasić,Matija Nastasić,03/28/93,25,187.96,83.0,23.49,CB,CB,Serbia,81,84,18500000.0,36000.0,Left,2,2,2,Normal,32800000.0,59.75,51.6,63.4,69.2,57.4,62.17,84.33
103,A. Plea,Alassane Plea,03/10/93,25,154.94,78.9,32.87,"ST,LW",ST,France,81,83,22000000.0,40000.0,Right,2,3,4,Stocky,39100000.0,72.25,78.0,75.4,78.6,79.6,67.33,33.0
104,M. Ginter,Matthias Ginter,01/19/94,25,187.96,83.0,23.49,"CB,CDM",CB,Germany,81,83,18500000.0,30000.0,Right,2,3,2,Normal,32800000.0,62.5,67.6,58.2,61.4,68.2,68.5,81.33
105,Gerard Moreno,Gerard Moreno Balagueró,04/07/92,26,154.94,77.1,32.12,ST,ST,Spain,81,83,22000000.0,45000.0,Left,1,4,4,Lean,47900000.0,65.25,74.6,67.8,75.0,76.2,63.83,41.67
106,A. Doucouré,Abdoulaye Doucouré,01/01/93,26,182.88,76.2,22.78,"CDM,CM",CDM,France,81,85,19500000.0,60000.0,Right,2,3,3,Lean,38500000.0,59.25,71.4,63.0,67.8,81.0,73.0,79.0
107,R. Guerreiro,Raphaël Guerreiro,12/22/93,25,170.18,71.2,24.58,"LM,LB,CM",LM,Portugal,81,84,22500000.0,54000.0,Left,3,2,4,Normal,39900000.0,72.5,75.0,82.0,81.4,69.4,71.83,71.33
108,Ricardo Pereira,Ricardo Barbosa Pereira,10/06/93,25,175.26,69.9,22.76,"RB,RM",RB,Portugal,81,84,18500000.0,64000.0,Right,3,4,3,Lean,36500000.0,74.25,68.6,72.6,83.0,69.6,74.67,78.33
109,Samu Castillejo,Samuel Castillejo Azuaga,01/18/95,24,182.88,67.1,20.06,"RM,LM,CM",RM,Spain,81,85,23000000.0,86000.0,Left,2,2,4,Lean,40800000.0,73.25,67.4,79.0,82.8,63.6,64.67,37.67
110,J. Brandt,Julian Brandt,05/02/96,22,185.42,83.9,24.4,"LM,RM,CAM",LM,Germany,81,88,25000000.0,63000.0,Right,2,4,4,Lean,47500000.0,67.75,68.6,74.2,80.4,72.6,59.0,27.33
111,N. Pépé,Nicolas Pépé,05/29/95,23,182.88,73.0,21.83,"RM,RW,ST",RM,Ivory Coast,80,88,22000000.0,35000.0,Left,1,3,4,Lean,46200000.0,74.0,69.2,74.6,85.8,72.0,64.83,26.67
112,S. Bergwijn,Steven Bergwijn,10/08/97,21,152.4,78.0,33.58,"LW,RW",LW,Netherlands,80,86,20500000.0,18000.0,Right,1,2,4,Stocky,32800000.0,65.25,69.0,73.2,83.2,76.0,60.17,34.67
113,A. Onana,André Onana,04/02/96,22,187.96,93.0,26.32,GK,GK,Cameroon,80,85,14500000.0,14000.0,Right,2,3,1,Stocky,21400000.0,24.5,18.6,27.4,65.0,44.8,33.5,14.67
114,F. Balbuena,Fabián Balbuena,08/23/91,27,187.96,84.8,24.0,CB,CB,Paraguay,80,83,15500000.0,80000.0,Right,1,3,2,Normal,30600000.0,41.75,48.2,44.6,56.4,67.6,59.33,80.0
115,André Silva,André Miguel Valente da Silva,11/06/95,23,185.42,78.9,22.95,ST,ST,Portugal,80,87,21000000.0,89000.0,Right,2,3,4,Normal,0.0,66.5,73.4,63.4,77.0,74.2,73.0,34.33
